	<s>	ADC	ADV	CO	DAN	EAN	EAU	ECS	EFN	ENM	EPF	IJ	NFW	NNC	NNU	NNX	NPN	NPR	PAD	PAN	PAU	PCA	PCJ	SCM	SFN	SLQ	SRQ	SSY	VJ	VV	VX	XFP	XPF	XS	XSF	XSJ	XSV
EPF	-10.019591	-7.912889	-9.159871	-4.723377	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-4.954196	-2.187491	-3.202243	-5.321928	-6.599913	-5.247928	-9.879583	-4.954196	-2.087102
IJ	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-8.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
NFW	-5.697663	-5.590961	-7.159871	-9.308339	-6.900867	-7.132311	-5.247928	-7.753551	-10.910643	-8.092757	-10.186114	-5.247928	-4.589963	-9.635558	-7.063010	-8.325787	-8.087463	-7.726105	-6.901591	-6.984893	-6.933269	-8.282162	-6.303781	-6.542258	-10.030667	-3.016959	-9.221587	-5.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.879583	-7.761551	-10.963619
NNC	-2.205810	-1.343034	-1.035750	-9.308339	-0.946670	-0.885500	-5.247928	-1.787767	-7.325680	-5.507795	-10.186114	-5.247928	-1.667131	-1.829719	-4.285402	-2.253559	-4.502500	-1.507582	-1.335994	-0.365284	-1.322772	-1.046626	-1.216318	-1.109299	-8.030667	-1.726566	-2.829270	-5.139551	-8.654636	-11.201511	-9.888743	-5.321928	-1.470630	-5.247928	-2.104796	-7.761551	-10.963619
NNU	-5.019591	-5.105534	-4.115477	-9.308339	-1.474602	-4.696212	-5.247928	-4.846660	-9.325680	-8.092757	-10.186114	-5.247928	-8.174926	-5.651559	-2.222906	-4.533229	-8.087463	-6.463070	-4.447415	-4.296837	-3.322772	-4.454343	-4.718818	-5.056831	-10.030667	-3.498492	-7.636625	-2.384664	-8.654636	-11.201511	-9.888743	-4.321928	-4.599913	-4.247928	-5.792120	-7.761551	-10.963619
NNX	-10.019591	-7.912889	-9.159871	-9.308339	-7.900867	-2.000605	-5.247928	-10.075479	-9.910643	-3.770829	-10.186114	-5.247928	-5.852998	-6.168432	-0.594240	-5.133142	-5.087463	-5.932555	-9.545447	-9.154818	-10.740624	-10.604090	-8.303781	-8.864186	-10.030667	-9.226412	-5.762156	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-5.014950	-5.247928	-5.235727	-7.761551	-10.963619
NPN	-3.511796	-6.327927	-6.574909	-9.308339	-8.900867	-9.634811	-5.247928	-5.551917	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-12.138058	-10.870365	-10.133142	-8.087463	-10.048033	-7.738092	-8.569856	-5.696230	-7.903650	-7.303781	-6.056831	-9.030667	-4.904484	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
NPR	-1.155405	-1.742964	-3.252981	-9.308339	-4.652939	-3.127016	-4.247928	-3.438855	-8.588715	-8.092757	-10.186114	-5.247928	-7.174926	-5.706213	-8.870365	-3.933470	-7.087463	-2.891528	-3.851960	-3.525461	-2.882643	-4.721447	-1.433416	-1.560405	-8.030667	-1.842708	-5.051662	-0.989804	-8.654636	-11.201511	-9.888743	-3.736966	-2.140481	-5.247928	-6.294621	-7.761551	-10.963619
PAD	-10.019591	-7.912889	-8.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-2.126008	-1.735205	-10.186114	-5.247928	-4.174926	-3.265640	-7.548437	-2.625348	-2.387023	-3.478177	-11.545447	-10.154818	-8.155662	-11.604090	-8.303781	-8.864186	-10.030667	-8.226412	-2.061716	-6.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-2.603459	-7.761551	-10.963619
PAN	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-8.910643	-8.092757	-10.186114	-5.247928	-4.589963	-4.635558	-8.285402	-4.325787	-4.502500	-3.696357	-5.901591	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-4.466700	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-3.221372	-7.761551	-10.963619
PAU	-10.019591	-7.912889	-7.574909	-9.308339	-8.900867	-11.219774	-5.247928	-5.403054	-5.662715	-4.185867	-10.186114	-5.247928	-4.367571	-4.015662	-9.870365	-4.275161	-1.820676	-3.832095	-4.061631	-10.154818	-7.570699	-10.604090	-8.303781	-8.864186	-10.030667	-9.226412	-4.762156	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-3.207158	-7.761551	-10.963619
PCA	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-7.910643	-2.507795	-10.186114	-5.247928	-4.005001	-2.572004	-8.063010	-3.144458	-2.802061	-3.989139	-11.545447	-10.154818	-7.155662	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-3.199219	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-2.539733	-7.761551	-10.963619
PCJ	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-6.589963	-6.313630	-10.870365	-7.133142	-8.087463	-5.240678	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-6.636625	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-7.294621	-7.761551	-10.963619
SCM	-10.019591	-7.912889	-7.574909	-9.308339	-8.900867	-11.219774	-5.247928	-6.268124	-10.910643	-8.092757	-10.186114	-5.247928	-7.174926	-5.728667	-8.285402	-6.609580	-8.087463	-5.173564	-8.375522	-10.154818	-9.740624	-9.282162	-7.303781	-8.864186	-10.030667	-9.226412	-5.521147	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-7.294621	-7.761551	-10.963619
SFN	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-0.937663	-8.092757	-10.186114	-5.247928	-8.174926	-12.138058	-10.870365	-11.133142	-8.087463	-9.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
SLQ	-8.434628	-4.453458	-5.072408	-9.308339	-8.900867	-6.132311	-5.247928	-4.551917	-9.910643	-8.092757	-10.186114	-5.247928	-5.367571	-7.494202	-10.870365	-6.226252	-6.087463	-4.800105	-6.187895	-6.454378	-4.140711	-7.144658	-8.303781	-5.404755	-10.030667	-7.641450	-8.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.294621	-7.761551	-10.963619
SRQ	-10.019591	-7.912889	-8.159871	-9.308339	-8.900867	-8.897845	-5.247928	-8.753551	-3.579726	-7.092757	-10.186114	-4.247928	-2.025179	-6.573274	-6.963474	-4.775590	-8.087463	-5.423542	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-7.636625	-6.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-6.879583	-7.761551	-10.963619
SSY	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-5.005001	-11.723021	-6.226509	-10.133142	-8.087463	-5.610627	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-6.899659	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
VJ	-9.019591	-6.327927	-4.030588	-9.308339	-8.900867	-7.634811	-5.247928	-7.075479	-10.910643	-4.922832	-10.186114	-5.247928	-8.174926	-9.138058	-10.870365	-4.885215	-5.280108	-9.632995	-6.260045	-7.569856	-5.348307	-4.974733	-7.303781	-7.864186	-10.030667	-7.641450	-8.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.879583	-7.761551	-10.963619
VV	-9.019591	-6.912889	-2.802319	-9.308339	-8.900867	-10.219774	-5.247928	-5.009390	-7.740718	-2.210114	-10.186114	-5.247928	-7.174926	-8.168432	-9.870365	-5.178946	-8.087463	-10.048033	-1.718899	-7.832890	-4.140711	-1.676312	-7.303781	-7.864186	-10.030667	-6.419057	-8.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.294621	-7.761551	-10.963619
VX	-10.019591	-7.912889	-8.159871	-9.308339	-8.900867	-10.219774	-5.247928	-1.446123	-8.910643	-8.092757	-10.186114	-5.247928	-8.174926	-11.723021	-10.870365	-5.885215	-8.087463	-11.632995	-6.901591	-10.154818	-5.985737	-6.903650	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
XFP	-10.019591	-6.912889	-9.159871	-9.308339	-8.900867	-10.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-9.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
XPF	-7.697663	-6.912889	-9.159871	-9.308339	-8.900867	-8.412419	-5.247928	-9.490517	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-10.723021	-10.870365	-9.548180	-8.087463	-8.311067	-10.545447	-6.984893	-7.740624	-9.019127	-6.303781	-7.864186	-10.030667	-6.904484	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
XS	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-12.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
XSF	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-6.507795	-10.186114	-5.247928	-8.174926	-4.247288	-6.478047	-5.133142	-3.133267	-5.524471	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-6.636625	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-7.072228	-7.761551	-10.963619
XSJ	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-6.231168	-10.870365	-10.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
XSV	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-2.787856	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.294621	-7.761551	-9.963619
