	#	$	''	(	)	,	.	:	<s>	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	JJ|VBN	LS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBG|NN	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
CD	-10.737247	-10.737247	-9.152285	-9.152285	-7.152285	-3.607964	-3.618306	-5.692853	-10.737247	-4.879266	-2.777245	-5.245394	-10.737247	-10.737247	-3.577376	-4.397397	-8.737247	-9.152285	-10.737247	-10.737247	-8.152285	-2.451845	-5.451845	-10.737247	-2.513246	-10.737247	-9.737247	-9.152285	-10.737247	-7.152285	-10.737247	-10.737247	-10.737247	-10.737247	-5.064822	-10.737247	-10.737247	-7.277816	-8.415319	-10.737247	-7.929892	-7.929892	-7.929892	-8.415319	-9.737247	-9.737247	-8.737247	-9.152285
DT	-12.285113	-7.037186	-11.285113	-10.700151	-11.285113	-9.477758	-9.115188	-12.285113	-12.285113	-10.700151	-5.570868	-8.700151	-12.285113	-9.285113	-6.427132	-2.287934	-7.155830	-6.584673	-12.285113	-12.285113	-8.825682	-1.108317	-2.976774	-8.584673	-3.674088	-12.285113	-12.285113	-9.285113	-10.700151	-6.927561	-8.963185	-8.477758	-12.285113	-12.285113	-10.700151	-12.285113	-10.700151	-9.477758	-6.477758	-12.285113	-7.037186	-10.700151	-7.330917	-11.285113	-9.285113	-12.285113	-12.285113	-7.378223
EX	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-3.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-5.807355	-6.807355	-6.807355	-4.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355	-4.000000	-6.807355	-6.807355	-6.807355	-2.559427	-1.900464	-6.807355	-6.807355	-6.807355	-6.807355	-6.807355
FW	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-3.146841	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-2.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196	-4.954196	-5.954196	-5.954196	-5.954196	-5.954196	-5.954196
IN	-11.563435	-5.808547	-10.978472	-12.563435	-12.563435	-9.393510	-8.656544	-11.563435	-12.563435	-9.756080	-4.137170	-1.675453	-9.393510	-12.563435	-5.808547	-3.363762	-7.563435	-7.609238	-12.563435	-12.563435	-12.563435	-3.241507	-2.647555	-8.656544	-3.901657	-9.978472	-12.563435	-4.856076	-4.749653	-6.171117	-9.393510	-10.978472	-12.563435	-12.563435	-8.241507	-12.563435	-10.978472	-9.978472	-5.063589	-12.563435	-7.862995	-11.563435	-10.241507	-8.171117	-8.862995	-12.563435	-9.393510	-7.278032
JJ	-11.849014	-9.527086	-9.041659	-9.849014	-11.849014	-5.148574	-5.341219	-7.942123	-11.849014	-5.719731	-5.871734	-7.679089	-11.849014	-11.849014	-4.127915	-4.003524	-9.849014	-10.849014	-11.849014	-11.849014	-10.264052	-1.190803	-4.740490	-9.264052	-2.024055	-11.849014	-11.849014	-8.679089	-10.849014	-8.148574	-10.849014	-11.849014	-10.849014	-11.849014	-5.341219	-11.849014	-11.849014	-10.849014	-7.456697	-11.849014	-8.389582	-9.849014	-8.849014	-11.849014	-10.264052	-11.849014	-9.849014	-9.041659
JJR	-7.857981	-6.857981	-7.857981	-7.857981	-7.857981	-5.857981	-4.688056	-6.857981	-7.857981	-5.273018	-6.857981	-5.273018	-7.857981	-7.857981	-2.214125	-3.951090	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-2.303392	-5.273018	-6.857981	-2.465664	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-5.857981	-7.857981	-7.857981	-7.857981	-6.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981	-7.857981
JJS	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928	-6.321928	-5.000000	-5.736966	-7.321928	-5.736966	-4.152003	-5.321928	-7.321928	-7.321928	-3.152003	-3.234465	-7.321928	-7.321928	-7.321928	-7.321928	-6.321928	-2.463947	-6.321928	-6.321928	-3.074001	-7.321928	-7.321928	-6.321928	-7.321928	-5.000000	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928	-6.321928	-5.736966	-7.321928	-6.321928	-6.321928	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928	-7.321928
JJ|VBN	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-4.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710
LS	-5.857981	-5.857981	-5.857981	-5.857981	-3.857981	-5.857981	-3.273018	-4.273018	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981	-5.857981
MD	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-7.702750	-9.287712	-9.287712	-9.287712	-9.287712	-6.702750	-9.287712	-9.287712	-7.702750	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-8.287712	-9.287712	-9.287712	-9.287712	-9.287712	-8.287712	-9.287712	-2.559792	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-0.445362	-9.287712	-9.287712	-9.287712	-8.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-9.287712	-7.702750
NN	-12.935165	-11.350203	-7.542848	-9.935165	-9.765240	-3.193698	-3.097537	-6.207245	-12.935165	-4.687238	-8.350203	-7.004428	-12.935165	-11.935165	-2.032036	-6.890771	-9.765240	-11.350203	-12.935165	-11.935165	-6.016302	-3.002950	-6.613237	-12.935165	-3.711163	-12.935165	-5.659041	-7.320455	-10.613237	-5.735493	-9.613237	-12.935165	-10.350203	-12.935165	-4.720846	-12.935165	-9.613237	-4.590869	-6.805882	-12.935165	-6.560126	-7.411603	-4.384418	-6.847702	-7.805882	-12.935165	-8.687238	-8.613237
NNP	-12.619532	-11.619532	-7.919093	-9.449607	-9.160101	-2.712642	-4.235828	-7.665336	-12.619532	-4.786642	-6.210141	-8.227215	-12.619532	-12.619532	-4.366867	-6.786642	-11.619532	-12.619532	-12.619532	-12.619532	-6.736889	-4.261980	-1.365094	-6.532069	-5.653748	-12.619532	-4.410079	-10.297604	-11.619532	-6.838173	-12.619532	-12.619532	-11.619532	-11.619532	-7.095970	-12.619532	-9.619532	-4.143799	-9.160101	-12.619532	-10.034570	-7.575138	-4.205904	-11.034570	-9.160101	-11.619532	-11.034570	-10.297604
NNPS	-7.330917	-7.330917	-7.330917	-6.330917	-6.330917	-4.008989	-4.008989	-5.008989	-7.330917	-4.160992	-7.330917	-7.330917	-7.330917	-7.330917	-3.424026	-7.330917	-7.330917	-7.330917	-7.330917	-7.330917	-5.330917	-5.745954	-2.630477	-5.330917	-6.330917	-7.330917	-4.160992	-7.330917	-7.330917	-5.745954	-7.330917	-7.330917	-7.330917	-7.330917	-7.330917	-7.330917	-7.330917	-4.523562	-7.330917	-7.330917	-7.330917	-3.745954	-5.330917	-7.330917	-6.330917	-7.330917	-6.330917	-6.330917
NNS	-11.845882	-10.845882	-7.845882	-8.145442	-8.845882	-3.111172	-2.924041	-6.117962	-11.845882	-4.111172	-9.523954	-6.202026	-11.845882	-11.845882	-2.056348	-5.915145	-9.260920	-11.845882	-11.845882	-11.845882	-5.077698	-5.560480	-9.845882	-11.845882	-6.636429	-11.845882	-6.453565	-7.090995	-10.260920	-5.231172	-8.675957	-9.845882	-10.260920	-11.845882	-4.636429	-11.845882	-7.938991	-4.064522	-6.291293	-11.845882	-5.845882	-3.268453	-6.453565	-6.064522	-6.597955	-10.260920	-8.260920	-9.260920
PDT	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-2.662965	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-4.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890	-5.832890
POS	-9.108524	-8.108524	-9.108524	-9.108524	-8.108524	-7.108524	-7.108524	-9.108524	-9.108524	-7.108524	-5.649093	-9.108524	-9.108524	-9.108524	-7.523562	-2.394279	-7.108524	-5.938599	-9.108524	-9.108524	-9.108524	-1.408085	-2.750972	-7.523562	-3.225881	-9.108524	-9.108524	-9.108524	-9.108524	-8.108524	-9.108524	-7.523562	-9.108524	-9.108524	-9.108524	-9.108524	-9.108524	-8.108524	-6.523562	-9.108524	-7.108524	-9.108524	-7.523562	-9.108524	-8.108524	-9.108524	-9.108524	-7.108524
PRP	-10.315150	-10.315150	-10.315150	-9.315150	-10.315150	-5.855718	-5.360953	-10.315150	-10.315150	-6.730187	-9.315150	-6.614710	-10.315150	-10.315150	-4.760561	-7.315150	-8.315150	-10.315150	-10.315150	-10.315150	-3.086331	-7.507795	-8.315150	-10.315150	-9.315150	-10.315150	-8.730187	-7.993221	-10.315150	-4.408259	-8.730187	-10.315150	-7.993221	-10.315150	-5.855718	-10.315150	-7.145225	-2.062484	-7.993221	-10.315150	-8.730187	-2.463401	-2.135240	-10.315150	-8.730187	-10.315150	-10.315150	-7.993221
PRP$	-9.167418	-6.582456	-9.167418	-8.167418	-9.167418	-8.167418	-9.167418	-9.167418	-9.167418	-9.167418	-5.360063	-9.167418	-9.167418	-9.167418	-9.167418	-2.386058	-9.167418	-6.167418	-9.167418	-9.167418	-9.167418	-1.195875	-4.123024	-8.167418	-2.538062	-9.167418	-9.167418	-9.167418	-9.167418	-7.582456	-9.167418	-8.167418	-9.167418	-9.167418	-9.167418	-9.167418	-9.167418	-9.167418	-7.582456	-9.167418	-6.845490	-9.167418	-9.167418	-9.167418	-9.167418	-9.167418	-9.167418	-8.167418
RB	-10.874981	-6.787519	-10.874981	-9.874981	-10.874981	-3.553053	-4.367187	-7.705056	-10.874981	-6.968091	-4.968091	-4.054802	-9.290019	-10.874981	-3.023232	-3.465590	-6.553053	-10.874981	-10.874981	-10.874981	-6.351419	-5.920785	-7.174542	-10.874981	-7.290019	-10.874981	-9.874981	-7.415550	-8.553053	-3.819699	-6.968091	-10.874981	-10.874981	-10.874981	-5.665528	-10.874981	-3.245625	-4.017000	-4.852614	-10.874981	-3.508659	-4.968091	-4.766457	-9.874981	-9.290019	-10.874981	-8.067626	-8.874981
RBR	-7.276124	-7.276124	-7.276124	-6.276124	-7.276124	-5.691162	-4.691162	-6.276124	-7.276124	-6.276124	-7.276124	-5.691162	-7.276124	-7.276124	-2.231730	-2.276124	-7.276124	-7.276124	-7.276124	-7.276124	-6.276124	-7.276124	-7.276124	-7.276124	-7.276124	-7.276124	-7.276124	-7.276124	-7.276124	-3.468769	-7.276124	-7.276124	-7.276124	-7.276124	-5.691162	-7.276124	-4.954196	-6.276124	-6.276124	-7.276124	-4.106199	-6.276124	-7.276124	-7.276124	-7.276124	-7.276124	-6.276124	-7.276124
RBS	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-5.303781	-6.303781	-4.718818	-1.981853	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-3.496426	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-5.303781	-6.303781	-6.303781	-6.303781	-4.718818	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781	-6.303781
RP	-7.426265	-6.426265	-6.426265	-7.426265	-7.426265	-4.618910	-3.841302	-7.426265	-7.426265	-5.426265	-5.426265	-2.782409	-7.426265	-7.426265	-2.216811	-4.841302	-7.426265	-7.426265	-7.426265	-7.426265	-7.426265	-5.104337	-6.426265	-7.426265	-4.426265	-7.426265	-7.426265	-7.426265	-4.841302	-5.104337	-7.426265	-7.426265	-7.426265	-7.426265	-4.256340	-7.426265	-7.426265	-6.426265	-6.426265	-7.426265	-7.426265	-7.426265	-7.426265	-7.426265	-7.426265	-7.426265	-6.426265	-5.841302
SYM	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-4.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710
TO	-10.365229	-5.235946	-10.365229	-10.365229	-10.365229	-10.365229	-9.365229	-10.365229	-10.365229	-10.365229	-4.532339	-2.841667	-10.365229	-10.365229	-7.195304	-5.235946	-8.780266	-10.365229	-10.365229	-10.365229	-10.365229	-5.235946	-4.458338	-10.365229	-4.810640	-10.365229	-10.365229	-7.557874	-5.557874	-6.905797	-8.365229	-10.365229	-10.365229	-10.365229	-10.365229	-10.365229	-0.806808	-10.365229	-7.043301	-10.365229	-8.780266	-10.365229	-10.365229	-10.365229	-10.365229	-10.365229	-10.365229	-8.043301
UH	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-4.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710
VB	-10.648358	-6.400430	-8.648358	-9.648358	-10.648358	-5.790377	-5.124796	-8.326429	-10.648358	-6.741467	-5.893470	-2.168577	-9.648358	-10.648358	-3.148512	-3.344577	-6.648358	-10.648358	-10.648358	-10.648358	-10.648358	-4.124796	-4.841003	-9.648358	-4.438904	-9.648358	-10.648358	-4.671078	-4.671078	-4.648358	-6.841003	-9.063395	-5.478433	-10.648358	-4.790377	-10.648358	-6.841003	-8.648358	-6.004501	-10.648358	-3.539833	-10.648358	-9.648358	-10.648358	-8.326429	-10.648358	-7.841003	-7.841003
VBD	-10.786270	-7.616345	-9.786270	-9.786270	-10.786270	-5.576816	-4.482489	-9.201307	-10.786270	-8.464342	-4.808990	-2.519483	-9.201307	-10.786270	-2.903627	-4.376879	-7.201307	-10.786270	-10.786270	-10.786270	-9.786270	-4.698807	-4.044803	-10.786270	-5.393952	-10.786270	-10.786270	-3.915905	-5.231681	-3.646718	-7.616345	-10.786270	-6.698807	-10.786270	-3.928289	-9.786270	-7.978915	-8.201307	-5.500867	-10.786270	-3.360005	-10.786270	-9.786270	-10.786270	-9.786270	-10.786270	-8.786270	-8.201307
VBG	-9.887221	-7.887221	-8.887221	-9.887221	-8.887221	-5.565293	-5.363659	-8.887221	-9.887221	-5.363659	-5.980330	-2.697396	-9.887221	-9.887221	-2.933024	-3.909941	-6.717296	-9.887221	-9.887221	-9.887221	-9.887221	-2.799758	-5.132333	-9.887221	-3.547371	-9.887221	-9.887221	-4.887221	-4.842826	-4.494903	-7.565293	-9.887221	-6.186781	-9.887221	-3.460956	-9.887221	-9.887221	-8.302258	-7.887221	-9.887221	-5.494903	-9.887221	-8.887221	-9.887221	-7.887221	-9.887221	-9.887221	-7.887221
VBG|NN	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-4.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710
VBN	-10.350939	-5.891508	-8.765977	-10.350939	-10.350939	-4.827377	-4.396743	-6.891508	-10.350939	-6.103012	-6.650499	-3.859086	-10.350939	-10.350939	-1.543584	-4.122120	-9.350939	-10.350939	-10.350939	-10.350939	-10.350939	-4.122120	-5.263476	-10.350939	-4.707083	-10.350939	-10.350939	-6.891508	-5.827377	-4.707083	-7.765977	-9.350939	-5.596052	-10.350939	-3.242415	-10.350939	-9.350939	-8.765977	-5.958622	-10.350939	-5.263476	-9.350939	-9.350939	-10.350939	-8.029011	-10.350939	-8.765977	-7.181014
VBP	-9.946906	-7.946906	-8.946906	-9.946906	-9.946906	-5.554589	-5.487475	-8.361944	-9.946906	-7.139551	-6.361944	-3.274481	-7.946906	-9.946906	-3.260406	-3.571867	-7.139551	-8.946906	-9.946906	-9.946906	-7.946906	-4.902512	-4.698979	-9.946906	-5.303050	-8.946906	-9.946906	-4.817623	-6.487475	-2.848874	-6.946906	-9.946906	-6.624978	-9.946906	-4.487475	-9.946906	-8.361944	-7.361944	-3.624978	-9.946906	-2.718088	-8.361944	-8.946906	-9.946906	-8.946906	-9.946906	-8.361944	-7.946906
VBZ	-10.624795	-8.039833	-9.624795	-10.624795	-10.624795	-5.198531	-5.339393	-7.454870	-10.624795	-8.039833	-5.717905	-2.766814	-7.817441	-10.624795	-3.464924	-3.791905	-7.302867	-9.624795	-10.624795	-10.624795	-9.039833	-5.010086	-3.766814	-10.624795	-5.717905	-9.624795	-10.624795	-4.321015	-5.869908	-2.938295	-7.624795	-9.624795	-6.924356	-10.624795	-4.434971	-10.624795	-9.039833	-8.624795	-4.537333	-10.624795	-2.966584	-10.624795	-8.039833	-10.624795	-8.039833	-10.624795	-8.302867	-6.376868
WDT	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-7.098032	-5.290677	-7.098032	-8.098032	-7.098032	-8.098032	-8.098032	-7.098032	-8.098032	-8.098032	-3.290677	-8.098032	-6.513070	-8.098032	-6.513070	-8.098032	-8.098032	-4.776104	-8.098032	-4.290677	-7.098032	-8.098032	-8.098032	-8.098032	-7.098032	-8.098032	-8.098032	-2.606179	-8.098032	-8.098032	-7.098032	-2.513070	-1.989508	-8.098032	-8.098032	-8.098032	-8.098032	-7.098032
WP	-7.888743	-7.888743	-7.888743	-7.888743	-7.888743	-6.888743	-7.888743	-7.888743	-7.888743	-7.888743	-7.888743	-5.303781	-7.888743	-7.888743	-5.888743	-6.888743	-7.888743	-7.888743	-7.888743	-7.888743	-4.303781	-6.303781	-5.566815	-7.888743	-5.566815	-7.888743	-6.888743	-4.429312	-5.888743	-4.429312	-7.888743	-7.888743	-7.888743	-7.888743	-7.888743	-7.888743	-6.303781	-2.566815	-7.888743	-7.888743	-7.888743	-2.603341	-2.081388	-7.888743	-7.888743	-7.888743	-7.888743	-7.888743
WP$	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-4.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-3.781360	-5.781360	-5.781360	-3.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360	-5.781360
